id,created_at,entities,author_id,text,in_reply_to_user_id,author_name,author_username,tweet_url,n_mentions,direct_reply,batch_user,batch_start,batch_end,batch_tweets,batch_errors,target_t_win,actual_t_win,t_win_weight,hate_score,batch_time,not_the_target,random,target_weight,cluster_id,cluster_weight
1558938465097711616,2022-08-14 19:07:48-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'CarlaZambelli38', 'id': '975127727501185025'}]}",1.4702081405872456e+18,"@IvanValente Um sujo querendo se limpar ,",112498734.0,Angela Alves,AngelaA14921564,https://www.twitter.com/AngelaA14921564/status/1559107670656925696,1,1,112498734,2022-08-15 03:19:14,2022-08-15 09:19:14,349,0,6,5.991388889,1.0,0.42142534,,1,3.360989881e-05,,,
1559237247098134531,2022-08-15 14:55:03-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",612690764.0,@GuilhermeBoulos Grandes💩,7.62e+17,Douglas,REDEDOUGLAS,https://www.twitter.com/REDEDOUGLAS/status/1559226259447709696,1,1,762402774260875265,2022-08-15 09:01:33,2022-08-15 15:01:33,846,3,6,1.465,4.09556314,0.032777254,,0,0.0001413261188,,,
1559240627849674753,2022-08-15 15:08:29-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}, {'start': 17, 'end': 29, 'username': 'LulaOficial', 'id': '2670726740'}]}",217183171.0,@BolsonaroSP E um merda fdp,74756085.0,Bor Borison,PabloRi26672037,https://www.twitter.com/PabloRi26672037/status/1558944369775976450,1,1,74756085,2022-08-14 15:09:44,2022-08-14 21:09:44,843,25,6,4.066944444,1.475309064,0.4817699,,1,0.0001736035051,,,
1559027715252142080,2022-08-15 01:02:27-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",1.4530593771040317e+18,@verdouglasgomes Ué?,7.456118332481862e+17,Fellipe Araguez,AraguezFellipe,https://www.twitter.com/AraguezFellipe/status/1559221653464285186,1,1,745611833248186368,2022-08-15 09:00:42,2022-08-15 15:00:42,33,0,6,5.694166667,1.0,0.019926907,,0,0.0001935963,,,
1559238149557075971,2022-08-15 14:58:38-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",1.0808821078645678e+18,"@AlanLopesRio É Alan..... Isso tudo é culpa do bozo, como dizem.por aí.

As pessoas se acostumaram com cabresto.... não aceitam a porta da gaiola aberta!",1.16e+18,Alexandre♣️,AlexandreHols,https://www.twitter.com/AlexandreHols/status/1559190815204851714,1,1,1157984524116156416,2022-08-15 09:01:08,2022-08-15 15:01:08,106,0,6,5.961388889,1.0,0.37517238,,1,0.0004998795917,,,
1559222329267425282,2022-08-15 13:55:46-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'GuilhermeBoulos', 'id': '762402774260875265'}]}",1.49720679030349e+18,"@IvanValente Cara se a polícia manda parar, obedeça,vai ser verificado se não tiver devendo um abraço. Agora se tentar fugir ou mesmo reagir.... E pau mesmo.",112498734.0,Cristian,Cris55novello,https://www.twitter.com/Cris55novello/status/1558901687657660417,1,1,112498734,2022-08-14 15:15:33,2022-08-14 21:15:33,847,1,6,4.675277778,1.283346206,0.06029385,,0,0.0005571070458,,,
1558930127148417025,2022-08-14 18:34:40-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'CarlaZambelli38', 'id': '975127727501185025'}, {'start': 17, 'end': 31, 'username': 'jairbolsonaro', 'id': '128372940'}]}",35107032.0,@CarolDeToni limitada,4566967516.0,®Diegues,rdiegues,https://www.twitter.com/rdiegues/status/1558914485582192647,1,1,4566967516,2022-08-14 15:15:00,2022-08-14 21:15:00,103,1,6,5.95,1.0,0.01362561,,0,0.0005895551468,,,
1559115345444720640,2022-08-15 06:50:39-03:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'BolsonaroSP', 'id': '74756085'}]}",2457684338.0,@thigagliasso Esse fneto é um zero a esquerda  affff,52297557.0,Aldo Ricci Figueiredo Filho,aldoricciffilho,https://www.twitter.com/aldoricciffilho/status/1558894555147165702,1,1,52297557,2022-08-14 15:02:02,2022-08-14 21:02:02,104,0,6,5.703055556,1.0,0.3646042,,1,0.0008575834904,,,
1559131336111230976,2022-08-15 07:54:12-03:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'FernandoHoliday', 'id': '97081119'}, {'start': 17, 'end': 30, 'username': 'IvsonMartins', 'id': '56112696'}]}",48752535.0,"@andreporci Pobre Bahia,  "" capitão"" pocilga.",67183252.0,RFD,rfdclifford,https://www.twitter.com/rfdclifford/status/1559184349962149889,1,1,67183252,2022-08-15 09:08:43,2022-08-15 15:08:43,215,2,6,5.806111111,1.0,0.4037966,,0,0.001067854935,,,
1558940414073257991,2022-08-14 19:15:33-03:00,"{'mentions': [{'start': 163, 'end': 177, 'username': 'marcosbrazrio', 'id': '460343731'}]}",35187804.0,@thigagliasso @acastro69 🎯🎯🎯,52297557.0,L@nn@ Alencar M. Rammacher,LnnAlencarMRam1,https://www.twitter.com/LnnAlencarMRam1/status/1558944199113834497,2,1,52297557,2022-08-14 15:02:02,2022-08-14 21:02:02,104,0,6,5.703055556,1.0,0.021617124,,0,0.001131327641,,,
