id,created_at,entities,author_id,text,in_reply_to_user_id,author_name,author_username,tweet_url,n_mentions,direct_reply,batch_user,batch_start,batch_end,batch_tweets,batch_errors,target_t_win,actual_t_win,t_win_weight,hate_score,batch_time,not_the_target,random,target_weight
1560794489836511234,2022-08-20 01:02:59+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AndreJanonesAdv', 'id': '1198004545'}]}",1.5605974982716047e+18,"@AndreJanonesAdv Cara pra provar q é o maior lambe saco do Loola, começa a falar tantos absurdos, debochando da morte da mãe de outra pessoa e ainda debocha da população comprovando q o STF é parcial e ""livra"" ele de QQ coisa.
Vc é nojento e moleque",1198004545.0,Joana Sincera a revanche,JoanaRevanche,https://www.twitter.com/JoanaRevanche/status/1560794489836511234,1,1,1198004545,2022-08-19 19:10:59,2022-08-19 22:10:59,832,0,3,0.3927777778,7.637906648,0.54069567,2022-08-19 21:30:00,0,,
1559114549428625408,2022-08-15 09:47:30+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ThiagoResiste', 'id': '1270774020808626176'}]}",1.515875449804628e+18,@CamargoDireita Sai fora capitão do mato safado,1.49e+18,eu DeBlasioAntiBozo,HiramSouza3,https://www.twitter.com/HiramSouza3/status/1559159305928073217,1,1,1489189886670381056,2022-08-15 09:10:59,2022-08-15 15:10:59,397,0,6,5.9425,1.0,0.96656,,0,0.01144962362,
1560384544460754945,2022-08-18 21:54:00+00:00,"{'mentions': [{'start': 0, 'end': 15, 'username': 'CamargoDireita', 'id': '1489189886670381056'}]}",388361997.0,"@CamargoDireita Já tem meu voto. E, divulgarei p todos - família e amigos. Deus te abençoe.",1.489189886670381e+18,nivaldo braz,nivaldobraz1,https://www.twitter.com/nivaldobraz1/status/1560384544460754945,1,1,1489189886670381056,2022-08-18 16:04:45,2022-08-18 19:04:45,153,0,3,2.944444444,1.0,0.0064423135,2022-08-18 18:30:00,0,,0.0003486750349
1561878287428755456,2022-08-23 00:49:36+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'heldersalomao', 'id': '80575628'}, {'start': 15, 'end': 31, 'username': 'prudentemarlene', 'id': '1387024550811115520'}]}",1.0914320938659144e+18,@heldersalomao @prudentemarlene Fiquei tão mobilizada pelo PANELAÇO que esqueci de filmar. Mas foi sensacional calar a boca dos discípulos do c4n4lh4,80575628.0,☪кATђє⭐🇧🇷🚩 #VamosJuntosPeloBrasil,BarrettoAlmeida,https://www.twitter.com/BarrettoAlmeida/status/1561878287428755456,2,1,80575628,2022-08-22 21:31:41,2022-08-23 00:31:41,47,0,3,2.856388889,1.0,0.016910244,2022-08-23 00:30:00,0,,0.009615384615
1559226530861121537,2022-08-15 17:12:28+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'joicehasselmann', 'id': '116519514'}]}",1.3906991308429107e+18,@carteiroreaca Varíola dos viados?,2797010717.0,João Wright🇧🇷🇧🇷🇺🇸🇮🇱,joaoladele,https://www.twitter.com/joaoladele/status/1558980865341984768,1,1,2797010717,2022-08-14 21:06:57,2022-08-15 03:06:57,233,0,6,5.859166667,1.0,0.83145744,,1,0.6641880114,
1559960290468532231,2022-08-17 17:48:10+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'RodrigoGuedesam', 'id': '52954632'}]}",1.4338924094574019e+18,@RodrigoGuedesam Eu queria pedir do amigo que de alguma forma ajudasse sim nossa Zona Franca se manter de pé e gerando empregos aqui mais sem prejudicar o resto do país...,52954632.0,Karoline Severo,KahWolf77,https://www.twitter.com/KahWolf77/status/1559960290468532231,1,1,52954632,2022-08-17 12:43:54,2022-08-17 15:43:54,16,0,3,1.423333333,1.0,0.0038837588,2022-08-17 15:30:00,0,,0.05
1560061016511156225,2022-08-18 00:28:25+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'GMonteiroRJ', 'id': '1073226183461011456'}]}",2957197179.0,@GMonteiroRJ Se vc tivesse dito que pegava novinha tava tudo certo! Rsrsr mamda essa galera pra puta que pa...! Kkkk,1.07e+18,Rodrigo B. de Araújo,rodrigo30985870,https://www.twitter.com/rodrigo30985870/status/1560061016511156225,1,1,1073226183461011456,2022-08-17 19:06:42,2022-08-17 22:06:42,415,0,3,2.975,1.0,0.95706993,2022-08-17 21:30:00,1,,
1558974165788626945,2022-08-15 00:29:40+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'GuilhermeBoulos', 'id': '762402774260875265'}]}",3073700434.0,@IvanValente Vagabundo,112498734.0,Douglas Junior 🦊,Douglas99147906,https://www.twitter.com/Douglas99147906/status/1558925809372520453,1,1,112498734,2022-08-14 15:15:33,2022-08-14 21:15:33,847,1,6,4.675277778,1.283346206,0.8266349,,0,0.7457585906,
1559901964707811330,2022-08-17 13:56:24+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'NatashaPSOL', 'id': '1124140833547141121'}]}",43449503.0,@NatashaPSOL Eu nas aulas era bem assim hahaha,1.1241408335471412e+18,E L I S A #lula2022 #oagromata,elisajornalista,https://www.twitter.com/elisajornalista/status/1559901964707811330,1,1,1124140833547141121,2022-08-17 09:43:04,2022-08-17 12:43:04,3,0,3,0.06972222222,1.0,0.03607308,2022-08-17 12:30:00,0,,0.05
1559326270089052162,2022-08-15 23:48:48+00:00,"{'mentions': [{'start': 0, 'end': 13, 'username': 'CarinaBelome', 'id': '1238554035092930560'}]}",56419117.0,@CamargoDireita Bom dia!!! Parabéns pelo seu trabalho!!!,1.49e+18,Mateus Rodrigues,MateusR00601556,https://www.twitter.com/MateusR00601556/status/1559170269612314631,1,1,1489189886670381056,2022-08-15 09:10:59,2022-08-15 15:10:59,397,0,6,5.9425,1.0,0.0037400706,,0,0.002778096743,
