id,text,tweet_url,n_prob_bin,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista/machista/LGBTfóbico?
(1=sim, 0=não)"
1564194214472212480,@MacaeEvaristo Nossa Batoré tinha razão kkkkkkk o bicha feia Meu Deus,https://www.twitter.com/Cleidivaldordj/status/1564194214472212480,772,,,
1569883537360158721,@majorfabianadep @jairbolsonaro Vagabundo cachaceiro... ladrão e canalha !!! Vai pros Quintos seu diabo 😈🤮🤮🤮🤮🤮🤮,https://www.twitter.com/BarrosSilvinho/status/1569883537360158721,772,,,
1573744814578962434,@VaiPaolla Fascista teu cool,https://www.twitter.com/leoalmeidafsa/status/1573744814578962434,2693,,,
1567737892570537985,@gleisi O CHORO É LIVRE E O POVO BRASILEIRO TAMBÉM..OS APOSENTADOS QUE O DIGAM🇧🇷💪🇧🇷,https://www.twitter.com/NalumoraesNARA/status/1567737892570537985,180052,,,
1566227867599609858,"@CarinaBelome Campanha tá magra, mas vc tá  gordinha.",https://www.twitter.com/JDProvasi/status/1566227867599609858,10176,,,
1572916942301794306,@mariamarighella @d_assiis @lorenabaterista @pizzariapremier @gleidedavis Tô contigo! 🤝🏼,https://www.twitter.com/menezesfaustino/status/1572916942301794306,180052,,,
1576610307119587328,@joicehasselmann Sai pra lá sua oportunista traíra e despeitada!,https://www.twitter.com/jmcardosopib/status/1576610307119587328,772,,,
1562260279110631425,@jessicamichels @CentralEleicoes Vai se ferrar idiota,https://www.twitter.com/ClovisH14/status/1562260279110631425,1158,,,
1572365541448245250,"@tabataamaralsp garota, vc apoia um ex presidiário condenado por corrupção , vc não tem moral pra falar de ninguém sua piralha. Fora Bolsopetismo",https://www.twitter.com/PullinRoberto/status/1572365541448245250,2693,,,
1564559081704136705,@CarinaBelome Esse povo é safado até o ultimo,https://www.twitter.com/machiel1914/status/1564559081704136705,772,,,
1565094960357154818,@juujuferrari Bela de puta da,https://www.twitter.com/Morpheu99812869/status/1565094960357154818,772,,,
1564476369530232833,"@clauthompson Não haviam estudos, porém, mandaram picar todo mundo. Agora é tarde.",https://www.twitter.com/brasigois/status/1564476369530232833,23304,,,
1560916869242142720,@delmartharocha @cirogomes @AnaPaulaMatosBA Desembarca delegada! Não cole com esquerdista! Quem é de Deus não anda com essas carniças!,https://www.twitter.com/SchhmidtMax/status/1560916869242142720,1924,,,
1572345289037742082,"@MacaeEvaristo @GugaNoblat Por esta eu não esperava, a recepção dos brasileiros de Londres a Bolsonaro foi apoteótica, como um político pode reunir tantos eleitores em outro pais, tinham mais manifestantes pro-Bolsonaro em Londres do que nos comícios dos demais candidatos no Brasil. https://t.co/ps3fTJ94RU",https://www.twitter.com/de_tacilio/status/1572345289037742082,180052,,,
1570346265686454273,"@juujuferrari A vai se fode na boa kkkkkk fica no porno , política é coisa séria kkkk",https://www.twitter.com/jukacaralho2/status/1570346265686454273,1924,,,
1569883581513715713,@renatafalzoni vai q vai mana,https://www.twitter.com/dudumarote/status/1569883581513715713,3578,,,
1572760308808130562,"@Zambelli2210 Isso é um vagabundo ladrão,um verme.",https://www.twitter.com/CarlosA02909070/status/1572760308808130562,1158,,,
1562983334393020417,"@adriventurasp Então, explica aos teus filhos esse compadrio que o deixou mofando por 600 dias, quando poderia estar governando a 4 anos.
Em vez disso, ficou assistindo o juiz ladrão recebendo a recompensa do TCHUTCHUCA DO CENTRÃO que diz ""Não te estupra porque tu não mereces, porque és feia!"" https://t.co/5fjzb9h3Mv",https://www.twitter.com/Wellbamaro/status/1562983334393020417,10176,,,
1574063497608105984,@ErikakHilton É um asno mesmo,https://www.twitter.com/AndreaMattos21/status/1574063497608105984,1158,,,
1568956215069220867,"@Alice_Portugal @Felipe_da_Cunha Seguindo, tamos juntos!",https://www.twitter.com/DjalmaR79852480/status/1568956215069220867,180052,,,
1560014889724289026,@luceliaoficial @LulaOficial Sai fora coisa louca 😂😂 ridícula ela não fala ela grita..🐄🐄🐄🐄,https://www.twitter.com/silmaraoliarski/status/1560014889724289026,1924,,,
1574730954060533760,@AriadnaArantes @LulaOficial Gata! ❤️⭐,https://www.twitter.com/LariuDayana/status/1574730954060533760,5554,,,
1562212904069472256,@monicafraga Ela e  o Humcerto Bosta,https://www.twitter.com/thelastDiego/status/1562212904069472256,1158,,,
1568404207274758150,"@erikakokay Vc acha que engana alguém, com essa conversa fiada e falsa, pelo amor de Deus, vai procurar o que fazer ao invés de tá espalhando desinformação e fake News, ninguém cai nesse papo mais não, vai trabalhar que é melhor",https://www.twitter.com/julianoramalho3/status/1568404207274758150,23304,,,
1562018837863841792,@apropriajulia @PATRlOTAS Cutuca o formigueiro que as formiga ficam desesperada.,https://www.twitter.com/0Idiotico/status/1562018837863841792,1924,,,
1563139926144692226,"@bellagoncalvs A mulher fez defesa do agronegócio, falou do MST, o combo completo e a cor do sapato é o que importa?",https://www.twitter.com/edisenra/status/1563139926144692226,180052,,,
1559723662084800513,@rosangelamorosp @SF_Moro @VemPraRua_br sai que é cilada Bino!!,https://www.twitter.com/WillcoxChico/status/1559723662084800513,3578,,,
1576634931031076865,@joicehasselmann chupa sua gorda https://t.co/AJeGVetVoI,https://www.twitter.com/yuansace96/status/1576634931031076865,1158,,,
