id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7je34EEoSXy5ynrC5oTcmBFSsUl2ns5tDAR7iV85zgdeqKabFES3QtwGIQiX1LjYcx4AlF-VbpgG82nPXCJH6qpFsDSADFivPUfI93ob8Kxu1sI=,@MacaeEvaristo Nossa Batoré tinha razão kkkkkkk o bicha feia Meu Deus,gAAAAABj7je3M2sQMLxjzq1WNI8ti1nKbBAds_t1qKlJp2-xjV74uYvFvhumrEBtM76-esVmIA90foJuYSo2Iqq9tYK5GSV0z4wNVOpZ5Un49jbKV5dg8EpQVFKjPKCL_I3GArN3Pr3cMRbEZV0foTuna9E1hgVlXJ_eUKOvF6-vQmjKeAK7gIA=,1,1,0,1,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je371wcHaIdKERbEukbKJoZBVmf8Y-KnLOqnLeKRpPTLdJOgMH51O-Z6cS-0avlQOb9H51a4EHXDjZOymEaOBN6i8bLq-2Kerqb8D72htxMpB8=,@majorfabianadep @jairbolsonaro Vagabundo cachaceiro... ladrão e canalha !!! Vai pros Quintos seu diabo 😈🤮🤮🤮🤮🤮🤮,gAAAAABj7je38C9wVhH1D4JFFhfBSZRpV_Smcrg1sVS94qogQy5xf2Tr2rS3Lg9AywmXlOyk0x4uibkkE19GC1ZJm-kzKkOoB1DvSsbQsggcTpjgmWaiklYzaWRblOyBpFuvKnf8ve-BJ9wUcaL6RaQ1fAM0P8_dkztZ23b3Yp4fGbh16z_y-Hg=,1,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je3KlTPKmV4Bw-9MxBpxdO7GbkNsY4Y25EJ6P01DTBA4c9D5NBjT4jnzevqlzauLcxqhTvBvGzCmZN3DhMnuPbSdhvP2MiPdZwLB7vkVX5aKig=,@VaiPaolla Fascista teu cool,gAAAAABj7je3N1UNOeiiOZOnvrPQd24aJY6TvFSy5kNjgQRG5jJtyHnqmHQiBVombnQo7PrObGSbrgI67FW92aZNhkckaWmIlps--UHQTBhqGefk3OHNaCu1j7C0rGKJRvmz8O2oXnFOoCQ4Y18Pnn8MpVbH0w0sK6Yc_nHC5NtRHmIDLJXGHus=,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je3cve06sbNl7wccDGkLySfX68A90L3MZmZDiVQCp3LDyOceZ9f7Q9Ic171U4WLWhXi1JNnyHBQhckuM-MIKPXo7WSHqH67OK0Bn5tW-ZRd1lQ=,@gleisi O CHORO É LIVRE E O POVO BRASILEIRO TAMBÉM..OS APOSENTADOS QUE O DIGAM🇧🇷💪🇧🇷,gAAAAABj7je3DULxCynKcSYwvuxW5Kk-rljDnN8fvJOABoeOLTbcRJYnLOLyQ3MSnG_onylgWXT0xPlm_UBL7BvWTiHNjlzTZpOpJlEqfNfmzwxlylAnmdUbKG-xW3EE7jGmRUNupJC_T-nZ145BVeKgJeQROQG8d7gWH9aplN_7jSGu1Z1aVD4=,0,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je3NygUQ_69pf7i9fdJ0RCDcnsSWiN8DJF6rMh7tnIT8m89Iq8moPn1OEy5HWKQbq4VMFtTbOGPlMfL1f4Qw0cKmvPv4HxPdhBsZfjKi6vAPUY=,"@CarinaBelome Campanha tá magra, mas vc tá  gordinha.",gAAAAABj7je360z3yIIhcnCdBWesOakjTPD_N0AZPjoq1XUAjV_SaPiugxenbx_LMgFVpEk5Ox7yXi1xfZBH64SND5BBU84mPmjUOS4J2rl310Ngig8D5J3E8uXuvibLvKXm_P5kTFM2obL_JnMCLvTyJyk-wa4dWw==,1,1,0,1,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je3u3W3Rm01SYiYMGnDNhWRW1BjYFzmYdk0qRVhhWLGUK7CxgROIN2aGUdByGvVZQpRuU0TLjRWGvPgZiwXNzYmIY-7mhkDNtXF8uicwi5C2ZE=,@mariamarighella @d_assiis @lorenabaterista @pizzariapremier @gleidedavis Tô contigo! 🤝🏼,gAAAAABj7je3pBUrjtDD8BLRwPkyFCut3cpRS0cG4-MpM10lFF4wvu1iNTcLDaEi1H008kXrP3p5aI7wkQyDlslI2_6KE-JHHyejAX8rTxW78rz9KyAdzFBn94AKz0iAFniPG7hw55idUVzKj5QyPkvXPKwwqCP4qo6p5wV71BYZ68LF-ZFXsUo=,0,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je3xJCD_KdiQLqy8HCltX7yj2bFLbeeCRK08Zo7CztuFm9-921Gg8smubsSnmA7TB9LdNjV5pkphI2VfUPvJhhBnxjeHBB0kmjLzoyAemDD-OA=,@joicehasselmann Sai pra lá sua oportunista traíra e despeitada!,gAAAAABj7je3WfDSHYk5ys7YXCKIuNl3tU5ZMd6c7GrvOdSjkesHZEtZ379dWgfLkEj2JhioePF5T4DCswo_bBbWzjnHlre7_zYjlbeswKrtrh98FuNeZEaF1QTBOyevxZzHWydz4BZPELWV6JXB0rIw9efzmY-EvQ==,0,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je3ySMKz3HbcUfTMQgCh7AnNI2FfFD1JjO8uRffbtHjAS5QWLqbzY-avNK6ciQ4lqCdejm_iashClpnZ7W6nFCWn9gy7yknK6StcN_xh9oJUVY=,@jessicamichels @CentralEleicoes Vai se ferrar idiota,gAAAAABj7je38gmQleuUCItz0TW_7f2vdnBJrJpyiQt2xNebiS08rHslAQxs5IR5a_NKe6_uhVFMPfADFUDyPJCb2PrYtnj9DIkAx6chSD-cCzGBf7RYemYgBNHf1eX6f87OJEScTOpHMgZWhBz9eCp1QWZ0UZBXzw==,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je3W8F8ocRLym2YduO7lt7YgHCIgCrnW7JDsd-Jmphm0lUKH56PDNWcE3JioOku-xgmz_MXE7ZD67jD8J38E4Hmw6wzu2SDdueAWiLcNMO-Yu4=,"@tabataamaralsp garota, vc apoia um ex presidiário condenado por corrupção , vc não tem moral pra falar de ninguém sua piralha. Fora Bolsopetismo",gAAAAABj7je3P3wzlW8fFIe8kAAT1DRX-xo6R8jaNF4biPMF1y2s3G6az1c2WO76L1ALthI-oKrheWDpHgMaXJjmjBhdbpUdgulBdXkJ0v455SLmbWqXXlCY3fX5pbbXka4tPEyrGC4qPSkvkHR5x3FP8hg6sfMi0TKe_UNtUEF1dGwLqyyBzuI=,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
gAAAAABj7je3ejI_fKDqYCdbVwKkkrebNOTi28PDD-RfMzWOmKr8M3pumvIIMVQakgAdz2pv8AypH9qhBF8m5X3q3uLYHD53kipKlIgJ6Fsq6vwF61Idouo=,@CarinaBelome Esse povo é safado até o ultimo,gAAAAABj7je3mvDqxCdarNjO1oey4iH_9J3YhTvDasTfllj8YWs3GPWQbM05dJ27smYfe3xEH9-C_s-TcDo7Mb6bfyigggxTdVc4w6Hgytbo2uDJTLLahYZokrZxFQiLOmax2AIMH768hCjU23roJtsnHWPjneFokA==,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A06.csv
